Bill Number,Title,Summary,Sponsor,Cosponsors (Overview),Cosponsor List,Introduced,Status,Prognosis,Source URL,Committees,Vote Type,Vote Date,Vote Result,Related Bills,Subjects
HJRES220,"H.J.Res. 220 (118th): Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Consumer Financial Protection relating to “Debt Collection Practices (Regulation F); Deceptive and Unfair Collection of Medical Debt”.","GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Gary Palmer,N/A,"Palmer, Gary [R-AL6, 2015-2026]","Nov 13, 2024 118 th Congress (2023–2025)","Introduced (Nov 13, 2024)",N/A,https://www.govtrack.us/congress/bills/118/hjres220,House Financial Services,Finance and Financial Sector,N/A,N/A,N/A,Finance and Financial Sector
HJRES221,"H.J.Res. 221 (118th): Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Defense relating to “Cybersecurity Maturity Model Certification (CMMC) Program”.","GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Gary Palmer,N/A,"Palmer, Gary [R-AL6, 2015-2026]","Nov 15, 2024 118 th Congress (2023–2025)","Introduced (Nov 15, 2024)",N/A,https://www.govtrack.us/congress/bills/118/hjres221,House Armed Services,Armed Forces and National Security,N/A,N/A,N/A,Armed Forces and National Security
HJRES222,"H.J.Res. 222 (118th): Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Internal Revenue Service relating to “Advanced Manufacturing Production Credit”.","GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Gary Palmer,N/A,"Palmer, Gary [R-AL6, 2015-2026]","Nov 18, 2024 118 th Congress (2023–2025)","Introduced (Nov 18, 2024)",N/A,https://www.govtrack.us/congress/bills/118/hjres222,House Ways and Means,,Introduced,"Last Action: Dec 5, 2024",", S.J.Res. 119",Taxation
HJRES223,"H.J.Res. 223 (118th): Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to “Waste Emissions Charge for Petroleum and Natural Gas Systems: Procedures for Facilitating Compliance, Including Netting and Exemptions”.","GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Glenn Grothman,N/A,"Grothman, Glenn [R-WI6, 2015-2026]","Nov 19, 2024 118 th Congress (2023–2025)","Introduced (Nov 19, 2024)",N/A,https://www.govtrack.us/congress/bills/118/hjres223,House Energy and Commerce,,Introduced,"Last Action: Dec 17, 2024",", H.J.Res. 228",Environmental Protection
HJRES224,H.J.Res. 224 (118th): Relating to the disapproval of the Presidential report with respect to the indebtedness of the Government of Ukraine.,"GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Thomas Massie,Cosponsors,"Massie, Thomas [R-KY4, 2012-2026], Luna, Anna [R-FL13, 2023-2026], Clyde, Andrew [R-GA9, 2021-2026], Miller, Mary [R-IL15, 2021-2026], Bilirakis, Gus [R-FL12, 2013-2026], Brecheen, Josh [R-OK2, 2023-2026], Hunt, Wesley [R-TX38, 2023-2026]","Nov 20, 2024 118 th Congress (2023–2025)","Introduced (Nov 20, 2024)",N/A,https://www.govtrack.us/congress/bills/118/hjres224,House Foreign Affairs,International Affairs,N/A,N/A,N/A,International Affairs
HJRES225,"H.J.Res. 225 (118th): Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Internal Revenue Service relating to “Advanced Manufacturing Production Credit”.","GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",John Moolenaar,Cosponsors,"Moolenaar, John [R-MI2, 2023-2026], Golden, Jared [D-ME2, 2019-2026], Self, Keith [R-TX3, 2023-2026], Weber, Randy [R-TX14, 2013-2026]","Nov 20, 2024 118 th Congress (2023–2025)","Introduced (Nov 20, 2024)",N/A,https://www.govtrack.us/congress/bills/118/hjres225,House Ways and Means,,Introduced,"Last Action: Dec 5, 2024",", S.J.Res. 119",Taxation
HJRES226,H.J.Res. 226 (118th): Providing for congressional disapproval of the proposed foreign military sale to the Government of the United Arab Emirates of certain defense articles and services.,"GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Sara Jacobs,Cosponsors,"Jacobs, Sara [D-CA51, 2023-2026], Castro, Joaquin [D-TX20, 2013-2026], Jackson, Jonathan [D-IL1, 2023-2026], Titus, Dina [D-NV1, 2013-2026], Kamlager-Dove, Sydney [D-CA37, 2023-2026], Pingree, Chellie [D-ME1, 2009-2026], McGovern, James “Jim” [D-MA2, 2013-2026], Omar, Ilhan [D-MN5, 2019-2026]","Nov 21, 2024 118 th Congress (2023–2025)","Introduced (Nov 21, 2024)",N/A,https://www.govtrack.us/congress/bills/118/hjres226,House Foreign Affairs,,Introduced,"Last Action: Nov 21, 2024",", S.J.Res. 118",International Affairs
HJRES227,H.J.Res. 227 (118th): Proposing an amendment to the Constitution of the United States to abolish the electoral college and to provide for the direct election of the President and Vice President of the United States.,"GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Steve Cohen,Cosponsors,"Cohen, Steve [D-TN9, 2007-2026], Johnson, Henry C. “Hank” [D-GA4, 2007-2026], Brownley, Julia [D-CA26, 2013-2026]","Dec 12, 2024 118 th Congress (2023–2025)","Introduced (Dec 12, 2024)",N/A,https://www.govtrack.us/congress/bills/118/hjres227,House Judiciary,,Introduced,"Last Action: Jan 11, 2021",", H.J.Res. 14 (117th)",Government Operations and Politics
HJRES228,"H.J.Res. 228 (118th): Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to “Waste Emissions Charge for Petroleum and Natural Gas Systems: Procedures for Facilitating Compliance, Including Netting and Exemptions”.","GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",August Pfluger,Cosponsors,"Pfluger, August [R-TX11, 2021-2026], Arrington, Jodey [R-TX19, 2017-2026]","Dec 17, 2024 118 th Congress (2023–2025)","Reintroduced Bill —
								
								Introduced (Feb 04, 2025)",N/A,https://www.govtrack.us/congress/bills/118/hjres228,House Energy and Commerce,,Introduced,"Last Action: Feb 4, 2025",", H.J.Res. 35 (119th)","Home, About GovTrack, About the Data, Contact Us, Privacy & Legal, Site News, Mastodon, Bluesky, Patreon, GitHub, Civic Impulse, LLC"
HJRES229,H.J.Res. 229 (118th): Proposing an amendment to the Constitution of the United States related to the public debt.,"GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Eric Burlison,N/A,"Burlison, Eric [R-MO7, 2023-2026]","Dec 19, 2024 118 th Congress (2023–2025)","Introduced (Dec 19, 2024)",N/A,https://www.govtrack.us/congress/bills/118/hjres229,House Judiciary,Home,N/A,N/A,N/A,"Home, About GovTrack, About the Data, Contact Us, Privacy & Legal, Site News, Mastodon, Bluesky, Patreon, GitHub, Civic Impulse, LLC"
HJRES230,"H.J.Res. 230 (118th): Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Bureau of Land Management related to the Record of Decision and Approved Resource Management Plan Amendment for the Miles City Field Office, Montana.","GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Matthew Rosendale,N/A,"Rosendale, Matthew [R-MT2, 2023-2024]","Dec 19, 2024 118 th Congress (2023–2025)","Introduced (Dec 19, 2024)",N/A,https://www.govtrack.us/congress/bills/118/hjres230,House Natural Resources,Home,N/A,N/A,N/A,"Home, About GovTrack, About the Data, Contact Us, Privacy & Legal, Site News, Mastodon, Bluesky, Patreon, GitHub, Civic Impulse, LLC"
SJRES1,"S.J.Res. 1 (118th): A joint resolution proposing amendments to the Constitution of the United States relative to the line item veto, a limitation on the number of terms that a Member of Congress may serve, and requiring a vote of two-thirds of the membership of both Houses of Congress on any legislation raising or imposing new taxes or fees.","GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Rick Scott,N/A,"Scott, Rick [R-FL, 2019-2030]","Jan 23, 2023 118 th Congress (2023–2025)","Reintroduced Bill —
								
								Introduced (Jan 08, 2025)",N/A,https://www.govtrack.us/congress/bills/118/sjres1,Senate Judiciary,,Introduced,"Last Action: Jan 22, 2021",", S.J.Res. 2 (117th)","Economics and Public Finance, Appropriations, Congressional elections, Constitution and constitutional amendments, show 7 more, General taxation matters, Income tax credits, Income tax deductions, Income tax rates, Legislative rules and procedure, Presidents and presidential powers, Vice Presidents, User charges and fees, show less"
SJRES2,S.J.Res. 2 (118th): A joint resolution proposing an amendment to the Constitution of the United States relative to limiting the number of terms that a Member of Congress may serve.,"GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Ted Cruz,Cosponsors,"Cruz, Ted [R-TX, 2013-2030], Hawley, Joshua “Josh” [R-MO, 2019-2030], Lee, Mike [R-UT, 2011-2028], Britt, Katie [R-AL, 2023-2028], Schmitt, Eric [R-MO, 2023-2028], Braun, Mike [R-IN, 2019-2024], Daines, Steve [R-MT, 2015-2026], Hagerty, Bill [R-TN, 2021-2026], Lummis, Cynthia [R-WY, 2021-2026], Marshall, Roger [R-KS, 2021-2026], Scott, Rick [R-FL, 2019-2030], Tuberville, Tommy [R-AL, 2021-2026], Vance, James David “J.D.” [R-OH, 2023-2025], Young, Todd [R-IN, 2017-2028], Rubio, Marco [R-FL, 2011-2025], Scott, Tim [R-SC, 2013-2028], Paul, Rand [R-KY, 2011-2028], Budd, Ted [R-NC, 2023-2028], Cassidy, Bill [R-LA, 2015-2026], Ricketts, Pete [R-NE, 2023-2026], Manchin, Joe [I-WV, 2010-2024]","Jan 23, 2023 118 th Congress (2023–2025)","Reintroduced Bill —
								
								Introduced (Jan 07, 2025)",N/A,https://www.govtrack.us/congress/bills/118/sjres2,Senate Judiciary,,Introduced,"Last Action: Jan 22, 2021",", S.J.Res. 3 (117th)","Congress, Congressional elections, Constitution and constitutional amendments"
SJRES3,"S.J.Res. 3 (118th): A joint resolution proposing an amendment to the Constitution of the United States to clarify the authority of Congress and the States to regulate corporations, limited liability companies, and other corporate entities established by the laws of any State, the United States, or any foreign state.","GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Jon Tester,N/A,"Tester, Jon [D-MT, 2007-2024]","Jan 23, 2023 118 th Congress (2023–2025)","Introduced (Jan 23, 2023)",N/A,https://www.govtrack.us/congress/bills/118/sjres3,Senate Judiciary,,Introduced,"Last Action: Mar 15, 2021",", S.J.Res. 11 (117th)","Civil Rights and Liberties, Minority Issues, Constitution and constitutional amendments, Corporate finance and management, Elections, voting, political campaign regulation, show 2 more, First Amendment rights, Political advertising, show less"
SJRES4,S.J.Res. 4 (118th): A joint resolution removing the deadline for the ratification of the Equal Rights Amendment.,"GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Benjamin Cardin,Cosponsors,"Cardin, Benjamin [D-MD, 2007-2024], Murkowski, Lisa [R-AK, 2003-2028], Baldwin, Tammy [D-WI, 2013-2030], Bennet, Michael [D-CO, 2009-2028], Blumenthal, Richard [D-CT, 2011-2028], Booker, Cory [D-NJ, 2013-2026], Brown, Sherrod [D-OH, 2007-2024], Cantwell, Maria [D-WA, 2001-2030], Carper, Thomas [D-DE, 2001-2024], Casey, Robert “Bob” [D-PA, 2007-2024], Collins, Susan [R-ME, 1997-2026], Coons, Christopher [D-DE, 2010-2026], Cortez Masto, Catherine [D-NV, 2017-2028], Duckworth, Tammy [D-IL, 2017-2028], Durbin, Richard [D-IL, 1997-2026], Feinstein, Dianne [D-CA, 1992-2023], Fetterman, John [D-PA, 2023-2028], Gillibrand, Kirsten [D-NY, 2009-2030], Hassan, Margaret “Maggie” [D-NH, 2017-2028], Heinrich, Martin [D-NM, 2013-2030], Hickenlooper, John [D-CO, 2021-2026], Hirono, Mazie [D-HI, 2013-2030], Kaine, Timothy “Tim” [D-VA, 2013-2030], Kelly, Mark [D-AZ, 2020-2028], King, Angus [I-ME, 2013-2030], Klobuchar, Amy [D-MN, 2007-2030], Luján, Ben [D-NM, 2021-2026], Manchin, Joe [I-WV, 2010-2024], Markey, Edward “Ed” [D-MA, 2013-2026], Menendez, Robert “Bob” [D-NJ, 2006-2024], Merkley, Jeff [D-OR, 2009-2026], Murphy, Christopher [D-CT, 2013-2030], Murray, Patty [D-WA, 1993-2028], Ossoff, Jon [D-GA, 2021-2026], Padilla, Alejandro “Alex” [D-CA, 2021-2028], Peters, Gary [D-MI, 2015-2026], Reed, John F. “Jack” [D-RI, 1997-2026], Rosen, Jacky [D-NV, 2019-2030], Sanders, Bernard “Bernie” [I-VT, 2007-2030], Schatz, Brian [D-HI, 2012-2028], Schumer, Charles “Chuck” [D-NY, 1999-2028], Shaheen, Jeanne [D-NH, 2009-2026], Sinema, Kyrsten [I-AZ, 2019-2024], Smith, Tina [D-MN, 2018-2026], Stabenow, Debbie [D-MI, 2001-2024], Tester, Jon [D-MT, 2007-2024], Van Hollen, Chris [D-MD, 2017-2028], Warner, Mark [D-VA, 2009-2026], Warnock, Raphael [D-GA, 2021-2028], Warren, Elizabeth [D-MA, 2013-2030], Welch, Peter [D-VT, 2023-2028], Whitehouse, Sheldon [D-RI, 2007-2030], Wyden, Ron [D-OR, 1996-2028], Butler, Laphonza [D-CA, 2023-2024]","Jan 24, 2023 118 th Congress (2023–2025)","Failed Cloture in the Senate (Apr 27, 2023)",N/A,https://www.govtrack.us/congress/bills/118/sjres4,N/A,Motion to Invoke Cloture: Motion to Proceed to S. J. Res. 4,"Apr 27, 2023 12:30 p.m.",Cloture on the Motion to Proceed Rejected 51/47,", H.J.Res. 25","Civil Rights and Liberties, Minority Issues, Constitution and constitutional amendments, Due process and equal protection, Sex, gender, sexual orientation discrimination, show 1 more, Women's rights, show less"
SJRES5,S.J.Res. 5 (118th): A joint resolution disapproving the action of the District of Columbia Council in approving the Local Resident Voting Rights Amendment Act of 2022.,"GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Tom Cotton,Cosponsors,"Cotton, Tom [R-AR, 2015-2026], Ernst, Joni [R-IA, 2015-2026], Scott, Rick [R-FL, 2019-2030], Blackburn, Marsha [R-TN, 2019-2030], Braun, Mike [R-IN, 2019-2024], Britt, Katie [R-AL, 2023-2028], Cornyn, John [R-TX, 2002-2026], Cramer, Kevin [R-ND, 2019-2030], Crapo, Michael “Mike” [R-ID, 1999-2028], Daines, Steve [R-MT, 2015-2026], Fischer, Deb [R-NE, 2013-2030], Grassley, Charles “Chuck” [R-IA, 1981-2028], Hagerty, Bill [R-TN, 2021-2026], Hoeven, John [R-ND, 2011-2028], Hyde-Smith, Cindy [R-MS, 2018-2026], Kennedy, John Neely [R-LA, 2017-2028], Marshall, Roger [R-KS, 2021-2026], McConnell, Mitch [R-KY, 1985-2026], Risch, James [R-ID, 2009-2026], Romney, Mitt [R-UT, 2019-2024], Rubio, Marco [R-FL, 2011-2025], Scott, Tim [R-SC, 2013-2028], Sullivan, Dan [R-AK, 2015-2026], Thune, John [R-SD, 2005-2028], Tillis, Thom [R-NC, 2015-2026], Vance, James David “J.D.” [R-OH, 2023-2025], Young, Todd [R-IN, 2017-2028], Graham, Lindsey [R-SC, 2003-2026]","Jan 31, 2023 118 th Congress (2023–2025)","Companion Bill —
								
								Passed House (Senate next) (Feb 09, 2023)",N/A,https://www.govtrack.us/congress/bills/118/sjres5,Senate Homeland Security and Governmental Affairs,,Introduced,"Last Action: Feb 1, 2023",", S.J.Res. 6","Government Operations and Politics, Congressional oversight, District of Columbia, Elections, voting, political campaign regulation, show 3 more, Immigration status and procedures, State and local government operations, Voting rights, show less"
SJRES6,S.J.Res. 6 (118th): A joint resolution disapproving the action of the District of Columbia Council in approving the Local Resident Voting Rights Amendment Act of 2022.,"GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Ted Cruz,Cosponsors,"Cruz, Ted [R-TX, 2013-2030], Hawley, Joshua “Josh” [R-MO, 2019-2030], Lankford, James [R-OK, 2015-2028], Scott, Rick [R-FL, 2019-2030], Budd, Ted [R-NC, 2023-2028], Cornyn, John [R-TX, 2002-2026], Kennedy, John Neely [R-LA, 2017-2028], Lee, Mike [R-UT, 2011-2028], Tillis, Thom [R-NC, 2015-2026], Vance, James David “J.D.” [R-OH, 2023-2025], Young, Todd [R-IN, 2017-2028]","Feb 1, 2023 118 th Congress (2023–2025)","Companion Bill —
								
								Passed House (Senate next) (Feb 09, 2023)",N/A,https://www.govtrack.us/congress/bills/118/sjres6,Senate Homeland Security and Governmental Affairs,,Introduced,"Last Action: Jan 31, 2023",", S.J.Res. 5","Government Operations and Politics, Congressional oversight, District of Columbia, Elections, voting, political campaign regulation, show 3 more, Immigration status and procedures, State and local government operations, Voting rights, show less"
SJRES7,"S.J.Res. 7 (118th): A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of the Army, Corps of Engineers, Department of Defense and the Environmental Protection Agency relating to “Revised Definition of ‘Waters of the United States’”.","GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Shelley Moore Capito,Cosponsors,"Capito, Shelley [R-WV, 2015-2026], Boozman, John [R-AR, 2011-2028], Cramer, Kevin [R-ND, 2019-2030], Graham, Lindsey [R-SC, 2003-2026], Lummis, Cynthia [R-WY, 2021-2026], Ricketts, Pete [R-NE, 2023-2026], Sullivan, Dan [R-AK, 2015-2026], Wicker, Roger [R-MS, 2007-2030], Barrasso, John [R-WY, 2007-2030], Blackburn, Marsha [R-TN, 2019-2030], Braun, Mike [R-IN, 2019-2024], Britt, Katie [R-AL, 2023-2028], Budd, Ted [R-NC, 2023-2028], Cassidy, Bill [R-LA, 2015-2026], Collins, Susan [R-ME, 1997-2026], Cornyn, John [R-TX, 2002-2026], Cotton, Tom [R-AR, 2015-2026], Crapo, Michael “Mike” [R-ID, 1999-2028], Cruz, Ted [R-TX, 2013-2030], Daines, Steve [R-MT, 2015-2026], Ernst, Joni [R-IA, 2015-2026], Fischer, Deb [R-NE, 2013-2030], Grassley, Charles “Chuck” [R-IA, 1981-2028], Hagerty, Bill [R-TN, 2021-2026], Hawley, Joshua “Josh” [R-MO, 2019-2030], Hoeven, John [R-ND, 2011-2028], Hyde-Smith, Cindy [R-MS, 2018-2026], Johnson, Ron [R-WI, 2011-2028], Kennedy, John Neely [R-LA, 2017-2028], Lankford, James [R-OK, 2015-2028], Lee, Mike [R-UT, 2011-2028], Marshall, Roger [R-KS, 2021-2026], McConnell, Mitch [R-KY, 1985-2026], Moran, Jerry [R-KS, 2011-2028], Mullin, Markwayne [R-OK, 2023-2026], Murkowski, Lisa [R-AK, 2003-2028], Paul, Rand [R-KY, 2011-2028], Risch, James [R-ID, 2009-2026], Romney, Mitt [R-UT, 2019-2024], Rounds, Mike [R-SD, 2015-2026], Rubio, Marco [R-FL, 2011-2025], Schmitt, Eric [R-MO, 2023-2028], Scott, Rick [R-FL, 2019-2030], Scott, Tim [R-SC, 2013-2028], Thune, John [R-SD, 2005-2028], Tillis, Thom [R-NC, 2015-2026], Tuberville, Tommy [R-AL, 2021-2026], Vance, James David “J.D.” [R-OH, 2023-2025], Young, Todd [R-IN, 2017-2028], Manchin, Joe [I-WV, 2010-2024]","Feb 2, 2023 118 th Congress (2023–2025)","Companion Bill —
								
								House Override Failed (Apr 18, 2023)",N/A,https://www.govtrack.us/congress/bills/118/sjres7,Senate Environment and Public Works,,Vetoed & Override Failed in House,"Apr 18, 2023",", H.J.Res. 27","Environmental Protection, Administrative law and regulatory procedures, Aquatic ecology, Army Corps of Engineers, show 7 more, Congressional oversight, Environmental Protection Agency (EPA), Environmental regulatory procedures, Lakes and rivers, Marine pollution, Water quality, Wetlands, show less"
SJRES8,"S.J.Res. 8 (118th): A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Labor relating to “Prudence and Loyalty in Selecting Plan Investments and Exercising Shareholder Rights”.","GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Mike Braun,Cosponsors,"Braun, Mike [R-IN, 2019-2024], Cassidy, Bill [R-LA, 2015-2026], Collins, Susan [R-ME, 1997-2026], Hawley, Joshua “Josh” [R-MO, 2019-2030], Marshall, Roger [R-KS, 2021-2026], Mullin, Markwayne [R-OK, 2023-2026], Murkowski, Lisa [R-AK, 2003-2028], Paul, Rand [R-KY, 2011-2028], Scott, Tim [R-SC, 2013-2028], Tuberville, Tommy [R-AL, 2021-2026], Barrasso, John [R-WY, 2007-2030], Blackburn, Marsha [R-TN, 2019-2030], Boozman, John [R-AR, 2011-2028], Britt, Katie [R-AL, 2023-2028], Budd, Ted [R-NC, 2023-2028], Capito, Shelley [R-WV, 2015-2026], Cornyn, John [R-TX, 2002-2026], Cotton, Tom [R-AR, 2015-2026], Cramer, Kevin [R-ND, 2019-2030], Crapo, Michael “Mike” [R-ID, 1999-2028], Cruz, Ted [R-TX, 2013-2030], Daines, Steve [R-MT, 2015-2026], Ernst, Joni [R-IA, 2015-2026], Fischer, Deb [R-NE, 2013-2030], Graham, Lindsey [R-SC, 2003-2026], Grassley, Charles “Chuck” [R-IA, 1981-2028], Hagerty, Bill [R-TN, 2021-2026], Hoeven, John [R-ND, 2011-2028], Hyde-Smith, Cindy [R-MS, 2018-2026], Johnson, Ron [R-WI, 2011-2028], Kennedy, John Neely [R-LA, 2017-2028], Lankford, James [R-OK, 2015-2028], Lee, Mike [R-UT, 2011-2028], Lummis, Cynthia [R-WY, 2021-2026], Manchin, Joe [I-WV, 2010-2024], McConnell, Mitch [R-KY, 1985-2026], Moran, Jerry [R-KS, 2011-2028], Ricketts, Pete [R-NE, 2023-2026], Risch, James [R-ID, 2009-2026], Romney, Mitt [R-UT, 2019-2024], Rounds, Mike [R-SD, 2015-2026], Rubio, Marco [R-FL, 2011-2025], Schmitt, Eric [R-MO, 2023-2028], Scott, Rick [R-FL, 2019-2030], Sullivan, Dan [R-AK, 2015-2026], Thune, John [R-SD, 2005-2028], Tillis, Thom [R-NC, 2015-2026], Vance, James David “J.D.” [R-OH, 2023-2025], Wicker, Roger [R-MS, 2007-2030], Young, Todd [R-IN, 2017-2028]","Feb 7, 2023 118 th Congress (2023–2025)","Companion Bill —
								
								House Override Failed (Mar 23, 2023)",N/A,https://www.govtrack.us/congress/bills/118/sjres8,"Senate Health, Education, Labor, and Pensions",,Introduced,"Last Action: Dec 15, 2022",", S.J.Res. 68 (117th)","Labor and Employment, Administrative law and regulatory procedures, Business ethics, Climate change and greenhouse gases, show 4 more, Congressional oversight, Department of Labor, Employee benefits and pensions, Financial services and investments, show less"
SJRES9,"S.J.Res. 9 (118th): A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the United States Fish and Wildlife Service relating to “Endangered and Threatened Wildlife and Plants; Lesser Prairie-Chicken; Threatened Status with Section 4(d) Rule for the Northern Distinct Population Segment and Endangered Status for the Southern Distinct Population Segment”.","GovTrack automatically collects legislative information from a variety of governmental and non-governmental sources. This page is sourced primarily from
					
						Congress.gov, the official portal of the United States Congress.
						Congress.gov is generally updated one day after events occur, and so legislative activity shown here may be one day behind. Data via the congress project.",Roger Marshall,Cosponsors,"Marshall, Roger [R-KS, 2021-2026], Capito, Shelley [R-WV, 2015-2026], Lankford, James [R-OK, 2015-2028], Moran, Jerry [R-KS, 2011-2028], Mullin, Markwayne [R-OK, 2023-2026], Britt, Katie [R-AL, 2023-2028]","Feb 7, 2023 118 th Congress (2023–2025)","Senate Override Failed (Sep 28, 2023)",N/A,https://www.govtrack.us/congress/bills/118/sjres9,Senate Environment and Public Works,Senate Vote on Passage,On the Joint Resolution,"May 3, 2023 6:31 p.m.",", H.J.Res. 29","Public Lands and Natural Resources, Administrative law and regulatory procedures, Birds, Department of the Interior, show 1 more, Endangered and threatened species, show less"
